domain,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
Java Basics,Import Statements,What happens when compiling and running the following code? import java.util.Date; import java.sql.Date; class Test { public static void main(String[] args) { Date d = new Date(); } },"It prints the current date.","Compilation error: reference to Date is ambiguous.","Compilation error: cannot find symbol Date.","It prints 'null'.","Runtime exception (NullPointerException) is thrown.",B,"Two imports bring in classes named Date from different packages, making the reference to Date ambiguous. The code fails to compile because the compiler cannot determine which Date class to use."
Data Types,Primitive Casting and Overflow,What is the output of the following code? int i = 258; byte b = (byte) i; System.out.println(b);,258,2,0,-2,"Compilation error",B,"Casting an int to a byte results in overflow. The value 258 modulo 256 is 2, so the byte value is 2. The output is 2."
Data Types,Autoboxing and NullPointerException,What happens when the following code is executed? Integer i = null; int j = i;,j will be 0,j will be null,Compilation error,Runtime NullPointerException,j will be uninitialized,D,"Because i is null and unboxing occurs when assigning to int j, a NullPointerException is thrown at runtime."
Data Types,Wrapper Caching,What is the output of the following code? Integer i1 = 100, i2 = 100; System.out.println(i1 == i2); Integer i3 = 128, i4 = 128; System.out.println(i3 == i4);,"true true","true false","false true","false false","Compile error",B,"Java caches Integer objects for values in the range -128 to 127. Thus i1 and i2 refer to the same cached object (true), but i3 and i4 do not (false)."
Data Types,char Arithmetic,What does the following code print? char c = 'A' + 1; System.out.println(c);,A,B,65,Compile error,Runtime error,B,"'A' has ASCII value 65, adding 1 yields 66, which corresponds to 'B'. The code prints B."
Operators and Decision Constructs,Nested if/else,What does the following code print? int x = 5, y = 3; if (x < 10) if (y < 5) System.out.println("A"); else System.out.println("B");,"A","B",Nothing,Compile error,Runtime exception,A,"The else pairs with the nearest if. Here x < 10 and y < 5 are both true, so it prints \"A\". If y >= 5, it would print \"B\"; if x >= 10, nothing would be printed."
Operators and Decision Constructs,Switch Statement Fall-Through,What is the output of the following code? int i = 1; switch (i) { case 1: System.out.println("One"); case 2: System.out.println("Two"); },One Two,"One","Two",Compile error,Runtime error,A,"Without a break statement, execution falls through. With i=1, it prints \"One\" then continues to case 2 and prints \"Two\"."
Loop Constructs,Enhanced For Loop,What is the output of the following code? int[] arr = {1, 2, 3}; for (int x : arr) { x++; } System.out.println(arr[0]);,1,2,3,4,Compile error,A,"The enhanced for loop variable x is a copy of the array element. Incrementing x does not change the array. arr[0] remains 1."
Loop Constructs,do-while Loop,What does the following code print? int i = 3; do { System.out.println(i); } while (i < 3);,3,Nothing (no output),Infinite loop,Compile error,Runtime error,A,"A do-while loop executes its body at least once before checking the condition. Here i=3, so it prints 3 once."
Loop Constructs,Break Statement,What is the output of the following code? for (int i = 0; i < 3; i++) { if (i == 1) break; System.out.print(i); },012,01,0,1,Compile error,C,"When i becomes 1, the break statement terminates the loop. The loop prints i for i=0, then breaks out at i=1, so only 0 is printed."
Methods and Encapsulation,Pass by Value (primitive),What is the output of the following code? int i = 5; { int x = i; x = 10; } System.out.println(i);,5,10,Compile error,Runtime error,"5 then 10",A,"Variables are passed by value. The assignment x = i creates a copy. Changing x does not change i. The output is 5."
