ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
1,Other,Arrays and Exception Handling,"What will be the output of following program code?

<code>
import java.io.*;
public class Main{
    public static void main(String args[]){
        int[] array = new int[10];
        System.out.println(""Accessing Element Eleven: "" + array[10]);
    }
}
</code>",Compilation Fails.,Oops. Identified Exception : java.lang.ArrayIndexOutOfBoundsException: 10,Accessing Element Eleven: 0,Oops. Identified Exception java.lang.NoDataFoundException.,,B,Array is declared with 10 elements. Then the code tries to access the 11th index element of the array which throws a standard exception java.lang.ArrayIndexOutOfBoundsException.,2025-06-04 23:10:53
2,Other,Exception Handling,"Choose the correct options to complete the following program code. (Select 2 options.)

<code>
1. public void method() _____ Exception {
2. _____ Exception();
}
</code>",Fill throws in line 1,Fill throws new in Line 1,Fill throw new in line 2,Fill throws in line 2,Fill throws new in line 2,"A,C","In method declaration, the keyword throws is used. So here at line 1 we have to use option A. To actually throw an exception, the keyword throw is used and a new exception is created, so at line 2 we have to use throw and new keywords, which is option C.",2025-06-04 23:10:53
3,Other,Arrays and Exception Handling,"Which exception will the following statement generate?

<code>
int array[] = new int[-2];
</code>",NullPointerException,NegativeArraySizeException,ArrayIndexOutOfBoundsException,IndexOutOfBoundsException,The statement executes without any exception.,B,"In the given statement we can see that we have passed a negative value for creating int array, which results in a NegativeArraySizeException.",2025-06-04 23:10:53
4,Other,Loop Constructs and Variable Scope,"What will be the output of following program code?

<code>
1. public class Main {
2.     public static void main(String[] args) {
3.         int sum = 0;
4.         
5.         for(int x = 0; x < 10; x++)
6.             sum += x;
7.         System.out.print(""sum for 0 to "" + x);
8.         System.out.println("" = "" + sum);
9.     }
10. }
</code>",sum for 0 to 9 = 45,sum for 0 to 10 = 45,Compilation fails due to an error in line 6.,Compilation fails due to an error in line 7.,Runtime Exception,D,"The scope of loop variables remains within the loop only. The code is trying to access that variable in line 7, which is out of the scope of the variable x causing a compile time error.",2025-06-04 23:10:53
5,Other,Java Compilation,"Which of the following is valid for compiling java source file with the name ""Main.java""?",javac Main.java,java Main.class,java Main.java,javac Main,java Main,A,"The compiler is invoked by the javac command. When compiling a java class, you must include the file name which houses the main class including the java extension.",2025-06-04 23:10:53
6,Handling Exceptions,Exception Handling,"Code:

<code>
public static void main(String[] args){
    Float number = Float.valueOf(args[0]);
}
</code>

Which of the following exceptions possible with above statement? (Choose three)",IllegalArgumentException,NumberFormatException,ArrayIndexOutOfBoundsException,NullPointerException,ClassCastException,"A,B,C","IllegalArgumentException can occur with invalid input, NumberFormatException for non-numeric strings, and ArrayIndexOutOfBoundsException if no arguments are provided.",2025-06-04 23:10:53
7,Working With Java Data Types,Identifiers,Which of the following is valid identifier?,_2DPoint,$ocajp,2DPoint,java@elabs,$*coffee,"A,B","Valid identifiers can start with letter, underscore, or dollar sign. _2DPoint and $ocajp are valid. 2DPoint starts with digit (invalid), java@elabs contains @ (invalid), $*coffee contains * (invalid).",2025-06-04 23:10:53
8,Working with Methods and Encapsulation,Inheritance and Access Modifiers,"Code:

<code>
1. package epracticelabs;
2.
3. public class A {
4.     protected int y = 15;
5. }
6. package elab;
7.
8. import epracticelabs.A;
9.
10. public class B extends A{
11.     int y = 10;
12.     public void print(){
13.         A a = new A();
14.         System.out.println(a.y + y);
15.     }
16. }
</code>

What is the output?",20,25,30,Compilation fails due to error at line 14,Compilation fails due to multiple errors,D,"In class B, we cannot access protected member y of class A through an instance of A from a different package, even though B extends A.",2025-06-04 23:10:53
9,Imports,Import Statements,"Code:

<code>
1. import java.util.Random;
2. import java.lang.System;
3. import java.util.*;
4. import java.lang.*;
5.
6. public class MyExamCloudOcajps {
7.
8.     public static void main(String[] args) {
9.         Random r = new Random();
10.        System.out.println(r.nextInt(10));
11.    }
12. }
</code>

Which lines contains redundant imports that not necessary for this code to compile?",Only lines 1 and 2,"Only lines 1,2 and 3","Only lines 2,3 and 4","Only lines 1,3 and 4",All,C,"Line 2 is redundant (java.lang.* imported by default), line 3 is redundant (line 1 already imports Random), line 4 is redundant (java.lang.* imported by default).",2025-06-04 23:10:53
10,Working with Selected classes from the Java API,Date and Time API,"Code:

<code>
1. import java.time.LocalDate;
2.
3. public class MyExamCloudOCajps{
4.     public static void main(String[] args) {
5.         LocalDate date = LocalDate.parse(""2014-12-30"");
6.         date = date.plusDays(2);
7.         date.plusHours(12);
8.         System.out.println(date.getYear() +"" ""+ date.getMonth() +"" ""+ date.getDayOfMonth());
9.     }
10. }
</code>

What is the output?",2015 JANUARY 1,2015 JANUARY 2,2014 JANUARY 3,An exception is thrown,Compilation fails,E,"LocalDate doesn't have plusHours method, so compilation fails.",2025-06-04 23:10:53
